ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
14	8994207	SATELITE BANDA KA	Inviável			
14	8994207	SATELITE BANDA KU	Inviável			
14	8994207	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / GGNET / IG NETWORKS	SPO IG / FNS PO	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
15	8994208	ABORDADO	NÃO
15	8994208	PRÓXIMO	NÃO
15	8994208	SEV ENDEREÇO	NÃO
15	8994208	SEV PRÓXIMA	NÃO
15	8994208	4G	Inviável			
15	8994208	FO GPON_RESID ETH	Inviável			
15	8994208	FO XGSPON RESID ETH	Inviável			
15	8994208	HFC BSoD	Inviável			
15	8994208	FO GPON_RESID ETH PRE VIAVEL	Inviável			
15	8994208	FO GPON ETH	Inviável			
15	8994208	FO EDD DIRETO CLARO	Inviável			
15	8994208	FO EDD CLARO PRE VIAVEL	Inviável			
15	8994208	FO EDD ETH	Inviável			
15	8994208	FOetherNET	Inviável			
15	8994208	FO SDH	Inviável			
15	8994208	ADE SDH	Inviável			
15	8994208	SATELITE BANDA KA	Inviável			
15	8994208	SATELITE BANDA KU	Inviável			
15	8994208	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE	SPO IG	

