sequencial;latitude;longitude;uf;cnl;facilidade;id_facilidade;provedor;id_provedor;entrega;abordado;custo_de_acesso_proprio;instalacao_terceiros;mensalidade_terceiros;tipo_terceiros;id_da_sev;prazo;bb_ip;hp_bsod;codigo_spe;sinalizacao_sip;protocolo_gaia;obs;justificativa;ID Justificativa;status;tecnologia
8703279;-31,4019166;-53,9016666;RS;HUNE;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;10404,47867;724,7826885;3;1630578;;111315;;;;11835202;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703280;-22,9709444;-43,3666388;RJ;RJO;TERCEIROS ETH;26;VTAL - RJ;460;RJO AM;NAO;;8501,152813;946,7868733;3;1630579;;111316;;;;11835203;FECHAMENTO NFV FASE 2/RJO ST_RJOST_NUVEMOPT_RJO_08 RJO ST/ESTACAO ENTREGA RJO AM/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703281;-17,8240277;-50,9908888;GO;RVDE;TERCEIROS ETH;26;MASTER TELECOM - MT;352;GNA RD;NAO;;2800;2200;3;1630580;;111317;;;;11835204;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA GNA RD/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703282;-12,2337316;-56,154657;MT;IPYR;TERCEIROS ETH;26;MASTER TELECOM - MT;352;CBA MC;NAO;;3500;1680;3;1630581;;;;;;11835205;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA CBA MC/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703283;-20,3621111;-40,4305;ES;VIA;TERCEIROS ETH;26;K2 TELECOM - ES;1229;VTA JM;NAO;;2500;405;3;1630582;;;;;;11835206;FECHAMENTO NFV FASE 2/VTA JM_VIA GRS_VIA VTA JM/ESTACAO ENTREGA VTA JM/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703284;-17,5755841;-52,5191678;GO;MNI;TERCEIROS ETH;26;BRFIBRA;127;GNA RD;NAO;;800;694,28;3;1630583;;;;;;11835207;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA GNA RD/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703285;-22,63;-47,2849722;SP;LRA;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;2970;1760;3;1630584;;;;;;11835208;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703286;-29,6090833;-51,1724444;RS;IVI;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;11048,84306;421,7619082;3;1630585;;;;;;11835209;FECHAMENTO NFV FASE 2/FABRICANTE   CONCENTRADOR OLT NHO LO/ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703287;-17,4725883;-52,5761598;GO;MNI;TERCEIROS ETH;26;BRFIBRA;127;GNA RD;NAO;;800;694,28;3;1630586;;;;;;11835210;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA GNA RD/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703288;-3,9495;-38,5126111;CE;IAGA;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;9913,716982;1684,791892;3;1630587;;111318;;;;11835211;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA FLA PV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703289;-25,5483055;-48,5719166;PR;PNG;TERCEIROS ETH;26;BRFIBRA;127;CTA MR;NAO;;800;709,74;3;1630588;;;;;;11835212;FECHAMENTO NFV FASE 2/PNG GL_PNG GL_PNG PNG GL/ESTACAO ENTREGA CTA MR/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703290;-23,4674166;-46,8473611;SP;SPB;TERCEIROS ETH;26;BRFIBRA;127;SPO IG;NAO;;800;444,4;3;1630589;;;;;;11835213;FECHAMENTO NFV FASE 2/BREAG_ANEL_SANTANA_DE_PARNAIBA BRE AG/ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703291;-15,63225;-56,0923888;MT;VAZ;TERCEIROS ETH;26;VTAL - MT;456;CBA MC;NAO;;9913,716982;4446,7985;3;1630590;;111319;;;;11835214;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA CBA MC/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703292;-23,31668;-47,87808;SP;TTI;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;2970;2278;3;1630591;;110857;;;;11835215;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
